action,current_url,target_url,cluster,slug_keyword,kw_volume,gsc_impressions_3m,gsc_keywords,backlink_domains,note
MIGRATE,/blog/10-best-ai-sales-assistant-tools,KEEP URL,,10-best-ai-sales-assistant-tools,,11782,,,User override: keep as MIGRATE.
MIGRATE,/blog/10-best-practices-for-multi-channel-sales-campaigns,KEEP URL,,10-best-practices-for-multi-channel-sales-campaigns,,5619,,,User override: keep as MIGRATE.
301-CONSOLIDATE,/blog/10-essential-b2b-prospect-sourcing-tools-for-2025-a-checklist-for-success,/blog/top-8-sales-prospecting-tools-for-small-business-teams,,10-essential-b2b-prospect-sourcing-tools-for-2025-a-checklist-for-success,,133,,,Cannibalizes stronger article.
MIGRATE,/blog/10-essential-sales-tools-every-b2b-team-needs-in-2025,KEEP URL,,10-essential-sales-tools-every-b2b-team-needs-in-2025,,7023,,,202 AI hits (181 GPT). Too AI-visible to kill.
MIGRATE,/blog/10-favourite-sales-movies,KEEP URL,,10-favourite-sales-movies,,4715,,,User override: keep as MIGRATE.
MIGRATE,/blog/10-pro-tips-avoid-spam-folder,KEEP URL,,10-pro-tips-avoid-spam-folder,,7025,,,User override: keep as MIGRATE.
MIGRATE,/blog/10-proven-sales-prospecting-tips-to-boost-your-pipeline-fast,KEEP URL,,10-proven-sales-prospecting-tips-to-boost-your-pipeline-fast,,2480,,,Has traffic/value. Template conversion.
REWRITE,/blog/11-best-ai-bdr-tools,KEEP URL,,11-best-ai-bdr-tools,,10561,,,"SPOKE 3: AI BDR. KD 2, already pos 2.4 for 'ai bdr tools' in GSC. Absorb content from ai-agent-tools + ai-sales-assistant. Genuine testing, screenshots, honest comparison."
MIGRATE,/blog/11-best-linkedin-automation-tools-to-accelerate-your-b2b-outreach-in-2025-6b690,KEEP URL,,11-best-linkedin-automation-tools-to-accelerate-your-b2b-outreach-in-2025-6b690,,7042,,,User override: keep as MIGRATE.
301-KILL,/blog/11-sales-influencers-crush-competition,/blog,,11-sales-influencers-crush-competition,,256,,,"256 impr, 1 clicks"
MIGRATE,/blog/17-sentences-never-use-sales-email,KEEP URL,,17-sentences-never-use-sales-email,,1802,,,User override: keep as MIGRATE.
301-KILL,/blog/3-essential-qualities-sdr,/blog,,3-essential-qualities-sdr,,444,,,"444 impr, 1 clicks"
301-KILL,/blog/3-sales-kpi,/blog,,3-sales-kpi,,73,,,Generic. 301 to blog.
REWRITE,/blog/455-email-spam-trigger-words-avoid-2018,KEEP URL — do NOT change slug,,455-email-spam-trigger-words-avoid-2018,,4767,,,"BACKLINK TREASURE: GoDaddy DR93, Etsy DR94, CampaignMonitor DR90, Kajabi DR86. Keep URL for backlinks. Rewrite title: 'Email Spam Trigger Words to Avoid (2026 Updated List)'. Content = fresh, URL = un"
301-KILL,/blog/5-deadly-email-prospecting-mistakes,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,,5-deadly-email-prospecting-mistakes,,63,,,Consolidate.
MIGRATE,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,KEEP URL,,5-main-steps-for-an-effective-cold-email-marketing-strategy,,5414,,,"3.2K impressions. Absorbs all 'cold email tips/rules/checklist' 301s. Light refresh, add internal links to cluster."
301-KILL,/blog/5-reasons-deleted-cold-email,/blog,,5-reasons-deleted-cold-email,,11,,,"11 impr, 0 clicks"
MIGRATE,/blog/5-rules-more-successful-salespeople,KEEP URL,,5-rules-more-successful-salespeople,,795,,,Has traffic/value. Template conversion.
REWRITE,/blog/500-trigger-words,KEEP URL,,500-trigger-words,,14434,,,"REFRAME for cold email: 'Cold Email Power Words: 500+ Words That Get Replies in Outbound'. Keep keyword match, fix topical alignment. Vol 1800, KD 3, pos 6."
301-KILL,/blog/6-cold-email-rules,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,,6-cold-email-rules,,56,,,Consolidate into cold email strategy page.
MIGRATE,/blog/6-reasons-sales-process-broken,KEEP URL,,6-reasons-sales-process-broken,,3014,,,User override: keep as MIGRATE.
MIGRATE,/blog/7-ai-sales-prospecting-tools-that-boost-lead-generation,KEEP URL,,7-ai-sales-prospecting-tools-that-boost-lead-generation,,5239,,,User override: keep as MIGRATE.
301-KILL,/blog/7-bad-habits-salespeople,/blog,,7-bad-habits-salespeople,,13,,,"13 impr, 0 clicks"
301-KILL,/blog/7-cold-email-subject-lines,/blog/500-trigger-words,,7-cold-email-subject-lines,,871,,,Related topic. Pos 81. 301 to reframed trigger words page.
MIGRATE,/blog/7-reasons-emails-bounce,KEEP URL,,7-reasons-emails-bounce,,7736,,,"3 backlink domains, on-topic for deliverability. Light refresh."
301-KILL,/blog/7-sales-tips,/blog,,7-sales-tips,,11,,,"11 impr, 0 clicks"
REWRITE,/blog/8-best-ai-linkedin-outreach-tools,KEEP URL,,8-best-ai-linkedin-outreach-tools,,14281,,,SPOKE 2: LinkedIn. 4.6K impressions. Different enough channel to stay standalone.
301-KILL,/blog/8-key-events-for-overloop-in-2020,/blog,,8-key-events-for-overloop-in-2020,,11,,,Product update — obsolete.
MIGRATE,/blog/9-best-ai-agent-tools-for-sales,KEEP URL,,9-best-ai-agent-tools-for-sales,,20299,,,User override: keep as MIGRATE.
MIGRATE,/blog/9-best-ai-multichannel-outreach-tools,KEEP URL,,9-best-ai-multichannel-outreach-tools,,15132,,,User override: keep as MIGRATE.
301-CONSOLIDATE,/blog/9-best-ai-sales-workflow-tools,/blog/best-ai-sales-tools,,9-best-ai-sales-workflow-tools,,5175,,,Cannibalizes stronger article.
MIGRATE,/blog/9-reasons-never-buy-email-lists,KEEP URL,,9-reasons-never-buy-email-lists,,4720,,,User override: keep as MIGRATE.
301-KILL,/blog/Heyreach-Review,/blog/8-best-ai-linkedin-outreach-tools,,Heyreach-Review,,0,,,Uppercase URL (bad). Heyreach covered in LinkedIn spoke. 301 there.
301-KILL,/blog/ab-testing-case-study,/blog,,ab-testing-case-study,,80,,,"80 impr, 0 clicks"
MIGRATE,/blog/ab-testing-email-drip-campaigns,KEEP URL,,ab-testing-email-drip-campaigns,,1448,,,User override: keep as MIGRATE.
301-CONSOLIDATE,/blog/ai-email-writer-revolution-how-to-use-ai-for-cold-outreach-in-outbound-sales,/blog/9-best-ai-email-outreach-tools,,ai-email-writer-revolution-how-to-use-ai-for-cold-outreach-in-outbound-sales,,302,,,Cannibalizes stronger article.
REWRITE,/blog/ai-generated-value-propositions-guide,KEEP URL,,ai-generated-value-propositions-guide,,12408,,,Core topic. Full rewrite needed.
MIGRATE,/blog/ai-sales-tool-adoption-in-b2b-outbound-prospecting-2025-industry-review-analysis,KEEP URL,,ai-sales-tool-adoption-in-b2b-outbound-prospecting-2025-industry-review-analysis,,0,,,53 AI hits. Zero GSC but LLMs crawl it.
MIGRATE,/blog/ai-sales-tools-roi-key-metrics-to-track,KEEP URL,,ai-sales-tools-roi-key-metrics-to-track,,21911,,,Has traffic/value. Template conversion.
301-KILL,/blog/ai-sales-tools-scalability-vs-customization,/blog/best-ai-sales-tools,,ai-sales-tools-scalability-vs-customization,,976,,,"976 impr, 0 clicks [Target improved from /blog to relevant article]"
REWRITE,/blog/apollo-alternatives,KEEP URL,,apollo-alternatives,,16902,,,"7.7K impressions, pos 9.8. Almost page 1. Competitor comparison = high purchase intent."
VS-REDIRECT,/blog/apollo-vs-lemlist-which-prospecting-tool-wins-for-b2b-sales-teams-95e78,/versus/apollo-vs-lemlist,,apollo-vs-lemlist,,283,,,Redirect to new /versus/ section. Old ugly slug cleaned up.
301-KILL,/blog/attachments,/blog,,attachments,,26,,,Product update — obsolete.
301-KILL,/blog/attract-hire-lead-talent,/blog,,attract-hire-lead-talent,,108,,,"108 impr, 0 clicks"
MIGRATE,/blog/automations,KEEP URL,,automations,,1468,,,User override: keep as MIGRATE.
301-KILL,/blog/b2b-lead-generation-manual-vs-ai-powered-methods,/blog,,b2b-lead-generation-manual-vs-ai-powered-methods,,142,,,"142 impr, 0 clicks"
301-KILL,/blog/best-ai-sales-tools,/blog/best-ai-sales-tools,,best-ai-sales-tools,,3850,,,"Old URL if it exists. 301 to the new hub. If this IS the hub URL, skip this redirect."
301-KILL,/blog/best-cold-email-software,/blog/9-best-ai-email-outreach-tools,,best-cold-email-software,,378,,,Duplicate of cold-email-software. 301 to email spoke.
MIGRATE,/blog/best-lead-generation-tools,KEEP URL,,best-lead-generation-tools,,0,,,User override: keep as MIGRATE.
MIGRATE,/blog/best-practices-for-links-in-your-emails,KEEP URL,,best-practices-for-links-in-your-emails,,18159,,,"6 clicks, pos 8.5, good CTR. Niche but on-topic. Migrate as-is, add internal links."
REWRITE,/blog/best-sales-email-template,KEEP URL,,best-sales-email-template,,252,,,Core topic. Full rewrite needed.
MIGRATE,/blog/best-subject-lines-for-sales-emails,KEEP URL,,best-subject-lines-for-sales-emails,,0,,,8 AI hits (6 Perplexity). High-intent keyword.
MIGRATE,/blog/boost-sales-motivation,KEEP URL,,boost-sales-motivation,,1048,,,User override: keep as MIGRATE.
301-KILL,/blog/calendly-integration,/blog,,calendly-integration,,100,,,Product feature. No SEO value. 301 → blog index.
301-CONSOLIDATE,/blog/cold-email-campaigns-reply-rates,/blog/increase-reply-rate,,cold-email-campaigns-reply-rates,,56,,,Cannibalizes stronger article.
REWRITE,/blog/cold-email-illegal,KEEP URL,,cold-email-illegal,,5417,,,"GitHub DR97, SEMrush DR92, IndieHackers DR80. Rewrite as country-by-country legal guide (US CAN-SPAM, EU GDPR, UK). Evergreen topic."
301-KILL,/blog/cold-email-software,/blog/9-best-ai-email-outreach-tools,,cold-email-software,,387,,,Good slug keyword (vol 300) but ZERO traction. Cannibalizes email spoke. 301 there.
REWRITE,/blog/cold-email-stats-2018,KEEP URL — do NOT change slug,,cold-email-stats-2018,,39,,,"GoDaddy DR93, OptinMonster DR88, SingleGrain DR79. Keep URL for backlinks. Title: 'Cold Email Statistics (2026): Open Rates, Reply Rates & Benchmarks'. Fresh data from Overloop."
REWRITE,/blog/cold-emailing-link-building,KEEP URL,,cold-emailing-link-building,,2963,,,12.4K impressions in 2025 GSC. Shoptet DR91 backlink. Rewrite with real outreach case study using Overloop.
MIGRATE,/blog/common-sales-automation-mistakes-and-how-to-avoid-them,KEEP URL,,common-sales-automation-mistakes-and-how-to-avoid-them,,6880,,,Has traffic/value. Template conversion.
MIGRATE,/blog/deal-objections,KEEP URL,,deal-objections,,279,,,Has traffic/value. Template conversion.
301-KILL,/blog/deals-pipelines,/blog,,deals-pipelines,,23,,,Product update — obsolete.
301-KILL,/blog/document-automate-sales-process,/blog/common-sales-automation-mistakes-and-how-to-avoid-them,,document-automate-sales-process,,499,,,"499 impr, 0 clicks [Target improved from /blog to relevant article]"
MIGRATE,/blog/email-automation,KEEP URL,,email-automation,,252,,,Has traffic/value. Template conversion.
301-KILL,/blog/emailing-important-people,/blog,,emailing-important-people,,18,,,"18 impr, 0 clicks"
301-KILL,/blog/essential-mastering-social-selling,/blog,,essential-mastering-social-selling,,262,,,"262 impr, 2 clicks"
301-KILL,/blog/ethics-of-ai-in-sales-key-challenges,/blog/best-ai-sales-tools,,ethics-of-ai-in-sales-key-challenges,,2889,,,Has Substack DR93 backlink but zero traction. Off-topic. 301 to AI tools hub to capture backlink juice.
301-KILL,/blog/find-and-verify-emails-within-the-app,/blog/how-to-find-someone-email-address-efficiently,,find-and-verify-emails-within-the-app,,63,,,Feature doc.
301-KILL,/blog/find-emails-with-name-organization-domain,/blog/how-to-find-someone-email-address-efficiently,,find-emails-with-name-organization-domain,,267,,,Feature doc.
MIGRATE,/blog/following-up-surefire-techniques,KEEP URL,,following-up-surefire-techniques,,107,,,Has traffic/value. Template conversion.
REWRITE,/blog/get-email-from-linkedin-profile,KEEP URL,,get-email-from-linkedin-profile,,62283,,,"60 clicks/3m, explosive growth. Core Overloop use case. Add step-by-step with Overloop screenshots."
301-KILL,/blog/get-started-startup-sales,/blog,,get-started-startup-sales,,910,,,"910 impr, 2 clicks"
301-KILL,/blog/how-ai-email-writer-technology-transforms-cold-outreach-a-case-study-on-overloop,/blog/9-best-ai-email-outreach-tools,,how-ai-email-writer-technology-transforms-cold-outreach-a-case-study-on-overloop,,591,,,Brand-centric slug. 301 to email outreach spoke.
MIGRATE,/blog/how-ai-follow-up-scheduling-boosts-sales-efficiency,KEEP URL,,how-ai-follow-up-scheduling-boosts-sales-efficiency,,5835,,,Has traffic/value. Template conversion.
301-KILL,/blog/how-ai-improves-follow-up-scheduling-in-sales,/blog,,how-ai-improves-follow-up-scheduling-in-sales,,168,,,"168 impr, 1 clicks"
301-KILL,/blog/how-ai-improves-multi-channel-campaign-scalability,/blog/10-best-practices-for-multi-channel-sales-campaigns,,how-ai-improves-multi-channel-campaign-scalability,,520,,,"520 impr, 0 clicks [Target improved from /blog to relevant article]"
301-KILL,/blog/how-ai-improves-real-time-data-sync-for-sales-teams,/blog,,how-ai-improves-real-time-data-sync-for-sales-teams,,86,,,"86 impr, 0 clicks"
301-KILL,/blog/how-ai-improves-sales-roi-over-time,/blog,,how-ai-improves-sales-roi-over-time,,90,,,"90 impr, 1 clicks"
301-CONSOLIDATE,/blog/how-an-ai-sales-tool-transformed-b2b-sales-teams-case-study-and-ai-sales-tool-reviews-2025,/blog/best-ai-sales-tools,,how-an-ai-sales-tool-transformed-b2b-sales-teams-case-study-and-ai-sales-tool-reviews-2025,,1998,,,Cannibalizes stronger article.
301-KILL,/blog/how-long-build-sales-process,/blog,,how-long-build-sales-process,,0,,,Zero GSC impressions
301-KILL,/blog/how-to-automate-sales-leads-list-management-for-small-businesses-the-ultimate-guide,/blog,,how-to-automate-sales-leads-list-management-for-small-businesses-the-ultimate-guide,,131,,,"131 impr, 0 clicks"
MIGRATE,/blog/how-to-build-scalable-lead-generation-workflows,KEEP URL,,how-to-build-scalable-lead-generation-workflows,,2325,,,Has traffic/value. Template conversion.
REWRITE,/blog/how-to-compose-a-follow-up-email,KEEP URL,,how-to-compose-a-follow-up-email,,672,,,Core topic. Full rewrite needed.
REWRITE,/blog/how-to-find-someone-email-address-efficiently,KEEP URL,,how-to-find-someone-email-address-efficiently,,1,,,"#1 priority. 98K impressions, 2221 keywords, #1 for 'find someone's email address'. Rewrite as definitive guide. E-E-A-T: author bio, Overloop data, screenshots."
301-KILL,/blog/how-to-master-sales-prospecting-with-overloop-s-automation-tools,/blog/top-8-sales-prospecting-tools-for-small-business-teams,,how-to-master-sales-prospecting-with-overloop-s-automation-tools,,1142,,,Brand-centric slug. 301 to prospecting tools.
301-KILL,/blog/how-to-scale-b2b-sales-with-ai-platforms,/blog,,how-to-scale-b2b-sales-with-ai-platforms,,185,,,"185 impr, 0 clicks"
301-KILL,/blog/how-to-use-an-ai-sales-assistant-the-b2b-sales-team-s-step-by-step-guide,/blog,,how-to-use-an-ai-sales-assistant-the-b2b-sales-team-s-step-by-step-guide,,0,,,Zero GSC impressions
MIGRATE,/blog/how-to-use-overloop-email-finder-step-by-step-for-effortless-lead-generation,KEEP URL,,how-to-use-overloop-email-finder-step-by-step-for-effortless-lead-generation,,7498,,,Has traffic/value. Template conversion.
301-KILL,/blog/how-to-use-sales-software-for-b2b-lead-generation-and-tracking-a-step-by-step-guide-for-startups,/blog,,how-to-use-sales-software-for-b2b-lead-generation-and-tracking-a-step-by-step-guide-for-startups,,144,,,"144 impr, 0 clicks"
REWRITE,/blog/how-to-write-a-successful-cold-email,KEEP URL,,how-to-write-a-successful-cold-email,,34057,,,Core topic. Full rewrite needed.
MIGRATE,/blog/how-to-write-a-successful-follow-up-email,KEEP URL,,how-to-write-a-successful-follow-up-email,,7589,,,User override: keep as MIGRATE.
301-KILL,/blog/how-to-write-good-emails,/blog/whats-the-best-email-length-for-sales-outreach,,how-to-write-good-emails,,3,,,Too generic. KD 40. 301 to email length page (Zendesk backlinks).
REWRITE,/blog/how-to-write-personalized-sales-emails-at-scale,KEEP URL,,how-to-write-personalized-sales-emails-at-scale,,5637,,,Core topic. Full rewrite needed.
REWRITE,/blog/increase-reply-rate,KEEP URL,,increase-reply-rate,,209,,,Core topic. Full rewrite needed.
MIGRATE,/blog/increase-saas-sales-growth-system,KEEP URL,,increase-saas-sales-growth-system,,2463,,,User override: keep as MIGRATE.
301-KILL,/blog/increase-your-saas-sales-during-holiday-season,/blog,,increase-your-saas-sales-during-holiday-season,,212,,,"212 impr, 2 clicks"
MIGRATE,/blog/inside-sales-outside-sales,KEEP URL,,inside-sales-outside-sales,,5993,,,User override: keep as MIGRATE.
VS-REDIRECT,/blog/instantly-vs-lemlist,/versus/instantly-vs-lemlist,,instantly-vs-lemlist,,2451,,,Redirect to new /versus/ section.
MIGRATE,/blog/kickstart-sales-career-2,KEEP URL,,kickstart-sales-career-2,,1358,,,User override: keep as MIGRATE.
MIGRATE,/blog/know-prospect-find,KEEP URL,,know-prospect-find,,8131,,,"Pos 4 Ahrefs, 4 ref domains. Low volume but ranks well. Keep."
REWRITE,/blog/la-growth-machine-review,KEEP URL,,la-growth-machine-review,,821,,,"Vol 500, KD 6, pos 14. Same honest review approach. First-person experience: 'We tested LGM for 30 days.'"
301-KILL,/blog/lead-generation-hire,/blog,,lead-generation-hire,,11,,,"11 impr, 0 clicks"
MIGRATE,/blog/lead-generation-strategies-every-saas-business-should-try-today,KEEP URL,,lead-generation-strategies-every-saas-business-should-try-today,,3460,,,Has traffic/value. Template conversion.
VS-REDIRECT,/blog/lemlist-vs-apollo,/versus/lemlist-vs-apollo,,lemlist-vs-apollo,,2310,,,Redirect to new /versus/ section.
REWRITE,/blog/linkedin-helper-review,KEEP URL,,linkedin-helper-review,,752,,,"Vol 500, KD 5, pos 12. Add disclosure: 'We're Overloop, a competitor.' Honest pros/cons with real screenshots. E-E-A-T compliant."
301-KILL,/blog/linkedin-outreach,/blog/8-best-ai-linkedin-outreach-tools,,linkedin-outreach,,377,,,Good slug (vol 300) but zero traction. Cannibalizes LinkedIn spoke. 301 there.
MIGRATE,/blog/linkedin-vs-email-which-performs-better-for-b2b-outreach,KEEP URL,,linkedin-vs-email-which-performs-better-for-b2b-outreach,,25186,,,User override: keep as MIGRATE.
301-KILL,/blog/lists-improvements,/blog,,lists-improvements,,62,,,Product update — obsolete.
301-CONSOLIDATE,/blog/main-sales-objections,/blog/deal-objections,,main-sales-objections,,97,,,Cannibalizes stronger article.
301-KILL,/blog/manage-sales-pipeline,/blog/pre-call-planning,,manage-sales-pipeline,,393,,,Not core product. 301 to blog. [Target improved from /blog to relevant article]
