action,current_url,target_url,cluster,slug_keyword,kw_volume,gsc_impressions_3m,gsc_keywords,backlink_domains,note
301-KILL-INTL,/es/blog/500-palabras-detonantes,/blog/500-trigger-words,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/peliculas-ventas-favoritas-vendedores,/blog,International (ES),,0,0,0,0,Off-topic
301-KILL-INTL,/es/blog/mejor-software-correo-frio,/blog/9-best-ai-email-outreach-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/mejores-herramientas-ia-bdr,/blog/11-best-ai-bdr-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/mejores-herramientas-automatizacion-linkedin,/blog/8-best-ai-linkedin-outreach-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/alternativas-apollo,/blog/apollo-alternatives,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/resena-la-growth-machine,/blog/la-growth-machine-review,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/resena-linkedin-helper,/blog/linkedin-helper-review,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/linkedin-helper-review,/blog/linkedin-helper-review,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/overloop-vs-saleshandy,/blog/apollo-alternatives,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/overloop-se-une-sortlist,/blog,International (ES),,0,0,0,0,Company news
301-KILL-INTL,/es/blog/overloop-nueva-plataforma-workflows-salientes,/blog,International (ES),,0,0,0,0,Product news
301-KILL-INTL,/es/blog/overloop-ai-ventas,/blog,International (ES),,0,0,0,0,Product news
301-KILL-INTL,/es/blog/overloop-vs-apollo-comparativa,/blog/apollo-alternatives,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/overloop-vs-instantly-comparativa,/blog/apollo-alternatives,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/propuesta-unica-de-venta,/blog,International (ES),,0,0,0,0,Off-topic
301-KILL-INTL,/es/blog/correo-seguimiento,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/perfect-follow-up-email-campaign,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/secuencia-correos-seguimiento,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/software-prospeccion-email,/blog/9-best-ai-email-outreach-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/errores-prospeccion-email-frio,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/prospectar-clientes,/blog/know-prospect-find,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/citas-de-ventas,/blog,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/canal-de-ventas,/blog,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/metricas-ventas-imprescindibles,/blog,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/retiro-equipo-importancia,/blog,International (ES),,0,0,0,0,Off-topic
301-KILL-INTL,/es/blog/razones-rebote-emails-como-evitarlo,/blog/7-reasons-emails-bounce,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/guia-completa-heyreach,/blog/8-best-ai-linkedin-outreach-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/apollo-vs-lemlist-comparativa,/blog/apollo-alternatives,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/mejores-herramientas-agentes-ia-ventas,/blog/11-best-ai-bdr-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/guia-automatizacion-linkedin-2025,/blog/the-ultimate-guide-to-linkedin-automation-boost-b2b-sales-in-2025,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/prospeccion-ventas-ia,/blog/top-8-sales-prospecting-tools-for-small-business-teams,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/ia-correo-electronico-divulgacion-fria,/blog/9-best-ai-email-outreach-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/guia-automatizacion-ventas-b2b-2025,/blog/best-ai-sales-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/calendly-integration,/blog,International (ES),,0,0,0,0,Product feature
301-KILL-INTL,/es/blog/reglas-correo-frio,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/email-frio-es-ilegal,/blog/cold-email-illegal,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/frases-prohibidas-email-ventas,/blog/500-trigger-words,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/mejores-practicas-campanas-ventas-multicanal,/blog/9-best-ai-email-outreach-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/lineas-asunto-correo-frio,/blog/500-trigger-words,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/palabras-spam-evitar-email,/blog/455-email-spam-trigger-words-avoid-2018,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/proceso-ventas-roto-razones,/blog,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/comprar-listas-de-correo-electronico,/blog/cold-email-illegal,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/linkedin-vs-email-comparativa-outreach-b2b,/blog/8-best-ai-linkedin-outreach-tools,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/consejos-evitar-carpeta-spam,/blog/455-email-spam-trigger-words-avoid-2018,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/copywriting-email-frio-consejos,/blog/500-trigger-words,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/checklist-email-frio,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/email-frio-link-building-caso-estudio,/blog/cold-emailing-link-building,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/estadisticas-cold-email,/blog/cold-email-stats-2018,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/longitud-ideal-email-frio,/blog/whats-the-best-email-length-for-sales-outreach,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/enlaces-correos-electronicos,/blog/best-practices-for-links-in-your-emails,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/escribir-correos-electronicos,/blog/whats-the-best-email-length-for-sales-outreach,International (ES),,0,0,0,0,Auto-translated ES page. 301 to EN equivalent.
301-KILL-INTL,/es/blog/seguimiento-multiples-eventos,/blog,International (ES),,0,0,0,0,Product feature
301-KILL-INTL,/es/blog,/blog,International (ES),,0,0,0,0,Blog index
301-KILL-INTL,/it/blog/trovare-email-di-qualcuno,/blog/how-to-find-someone-email-address-efficiently,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/ottenere-email-da-linkedin,/blog/get-email-from-linkedin-profile,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/parole-trigger-copywriting,/blog/500-trigger-words,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/software-cold-email-b2b,/blog/9-best-ai-email-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/miglior-software-cold-email,/blog/9-best-ai-email-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/strumenti-ai-bdr,/blog/11-best-ai-bdr-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/strumenti-ai-agent-vendite,/blog/11-best-ai-bdr-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/strumenti-automazione-linkedin,/blog/8-best-ai-linkedin-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/la-growth-machine-recensione,/blog/la-growth-machine-review,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/linkedin-helper-recensione,/blog/linkedin-helper-review,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/heyreach-recensione-linkedin,/blog/8-best-ai-linkedin-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/alternative-apollo-vendite,/blog/apollo-alternatives,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/apollo-vs-lemlist,/blog/apollo-alternatives,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/overloop-vs-hubspot,/blog/apollo-alternatives,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/overloop-vs-saleshandy,/blog/apollo-alternatives,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/overloop-vs-instantly,/blog/apollo-alternatives,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/overloop-vs-apollo,/blog/apollo-alternatives,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/overloop-sortlist,/blog,International (IT),,0,0,0,0,Company news
301-KILL-INTL,/it/blog/aggiornamento-piattaforma-overloop,/blog,International (IT),,0,0,0,0,Product news
301-KILL-INTL,/it/blog/overloop-ai-futuro-vendite,/blog,International (IT),,0,0,0,0,Product news
301-KILL-INTL,/it/blog/proposta-di-valore-unica,/blog,International (IT),,0,0,0,0,Off-topic
301-KILL-INTL,/it/blog/film-sulla-vendita,/blog,International (IT),,0,0,0,0,Off-topic
301-KILL-INTL,/it/blog/importanza-ritiro-di-team,/blog,International (IT),,0,0,0,0,Off-topic
301-KILL-INTL,/it/blog/metriche-vendite-chiave,/blog,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/appuntamenti-commerciali,/blog,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/problemi-processo-vendita,/blog,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/come-trovare-prospect,/blog/know-prospect-find,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/gestire-pipeline-vendite,/blog,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/perche-rimbalzano-email,/blog/7-reasons-emails-bounce,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/perche-non-comprare-liste-email,/blog/cold-email-illegal,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/cold-email-legale,/blog/cold-email-illegal,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/errori-prospezione-email,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/follow-up-email-passo-passo,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/sequenza-follow-up-email,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/regole-cold-email,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/checklist-cold-email,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/oggetto-email-vendita-efficace,/blog/500-trigger-words,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/frasi-da-evitare-email-vendita,/blog/500-trigger-words,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/parole-spam-da-evitare,/blog/455-email-spam-trigger-words-avoid-2018,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/evitare-cartella-spam,/blog/455-email-spam-trigger-words-avoid-2018,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/outreach-linkedin-risposte,/blog/8-best-ai-linkedin-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/guida-automazione-linkedin,/blog/the-ultimate-guide-to-linkedin-automation-boost-b2b-sales-in-2025,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/linkedin-vs-email-b2b,/blog/8-best-ai-linkedin-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/prospezione-vendite-automazione,/blog/top-8-sales-prospecting-tools-for-small-business-teams,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/automazione-vendite-b2b,/blog/best-ai-sales-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/ai-email-writer-cold-outreach-caso-studio,/blog/9-best-ai-email-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/campagne-vendita-multicanale,/blog/9-best-ai-email-outreach-tools,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/copywriting-cold-email,/blog/500-trigger-words,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/link-nelle-email,/blog/best-practices-for-links-in-your-emails,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/scrivere-email-efficaci,/blog/whats-the-best-email-length-for-sales-outreach,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/cold-email-link-building,/blog/cold-emailing-link-building,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/statistiche-cold-email,/blog/cold-email-stats-2018,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/lunghezza-cold-email-ideale,/blog/whats-the-best-email-length-for-sales-outreach,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/ab-test-email-drip,/blog/5-main-steps-for-an-effective-cold-email-marketing-strategy,International (IT),,0,0,0,0,Auto-translated IT page. 301 to EN equivalent.
301-KILL-INTL,/it/blog/tracciamento-eventi-multipli,/blog,International (IT),,0,0,0,0,Product feature
301-KILL-INTL,/it/blog/integrazione-calendly,/blog,International (IT),,0,0,0,0,Product feature
301-KILL-INTL,/it/blog,/blog,International (IT),,0,0,0,0,Blog index
301-KILL-INTL,/de/blog/apollo-alternativen,/blog/apollo-alternatives,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/overloop-vs-apollo-vergleich,/blog/apollo-alternatives,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/overloop-ai-zukunft-vertrieb,/blog,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/overloop-calendly-integration,/blog,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/linkedin-outreach,/blog/8-best-ai-linkedin-outreach-tools,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/linkedin-vs-e-mail-b2b-outreach,/blog/8-best-ai-linkedin-outreach-tools,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/linkedin-helper-review,/blog/linkedin-helper-review,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/linkedin-automatisierung-leitfaden,/blog/the-ultimate-guide-to-linkedin-automation-boost-b2b-sales-in-2025,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/verkaufsprospektion-automatisierung,/blog/top-8-sales-prospecting-tools-for-small-business-teams,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/e-mails-linkedin-profil-finden,/blog/get-email-from-linkedin-profile,International (DE),,0,0,0,0,Dead (timeout)
301-KILL-INTL,/de/blog/richtige-interessenten-finden,/blog/know-prospect-find,International (DE),,0,0,0,0,Dead (timeout)
